DateTime,Entries,UniqueIPs
1440292067,0,0
1440292067,47,47
1440379759,47,47
1440423392,46,46
1440510868,48,48
1440598710,53,53
1440642495,53,53
1440686197,54,54
1440773671,55,55
1440949529,57,57
1440994225,57,57
1441037902,57,57
1441300712,58,58
1441737932,58,58
1441825789,58,58
1441913261,58,58
1442134461,41,41
1442222376,41,41
1442266097,42,42
1442309800,40,40
1442353653,41,41
1442397634,40,40
1442485143,40,40
1442528882,41,41
1442572605,40,40
1442835464,41,41
1442922865,42,42
1442966991,46,46
1443098266,48,48
1443141948,48,48
1443229805,48,48
1443273546,47,47
1443317267,46,46
1443361029,46,46
1443448537,43,43
1443536334,43,43
1443623812,42,42
1443711340,48,48
1443799686,49,49
1443843403,50,50
1443887212,51,51
1444149952,54,54
1444237794,58,58
1444281524,59,59
1444325871,62,62
1444413270,62,62
1444676078,63,63
1444763948,64,64
1444938882,63,63
1445026712,64,64
1445158553,61,61
1445203684,62,62
1445291165,66,66
1445334929,65,65
1445378997,66,66
1445466473,69,69
1445510274,69,69
1445597686,68,68
1445641803,68,68
1445817281,68,68
1445861413,69,69
1445905119,70,70
1445948891,70,70
1445992602,69,69
1446037406,70,70
1446081509,63,63
1446125280,57,57
1446168986,57,57
1446213350,60,60
1446257270,60,60
1446301115,59,59
1446344861,62,62
1446579500,63,63
1446755844,62,62
1446844227,61,61
1447084852,62,62
1447129149,53,53
1447172847,54,54
1447348174,44,44
1447435670,46,46
1447523726,47,47
1447722040,44,44
1447809533,44,44
1447897006,44,44
1447940764,43,43
1447984463,39,39
1448050921,42,42
1448095021,44,44
1448314618,45,45
1448358334,47,47
1448403148,50,50
1448447345,51,51
1448491001,52,52
1448534742,53,53
1448667489,53,53
1448754952,48,48
1448799712,44,44
1448843879,45,45
1448888100,45,45
1448932186,45,45
1449019654,43,43
1449154162,45,45
1449198050,45,45
1449288025,42,42
1449335598,42,42
1449379641,37,37
1449474452,37,37
1449518085,41,41
1449606028,47,47
1449693425,49,49
1449780878,52,52
1449868724,60,60
1450044580,60,60
1450200625,61,61
1450423985,61,61
1450780672,62,62
1450868074,51,51
1450955923,48,48
