DateTime,Entries,UniqueIPs
1470072509,35572,46332083
1470094465,35569,46348462
1470101776,35556,46348446
1470138521,35455,46348344
1470148335,35389,46348301
1470180632,35418,46348330
1470224363,35651,46348592
1470233538,35697,46348665
1470248183,35619,46348557
1470267036,35671,46348488
1470308742,36045,46348890
1470314635,36154,46349004
1470350659,36219,46349075
1470353430,36164,46348988
1470409238,36174,46349001
1470438488,36232,46349091
1470439831,36215,46349070
1470497050,36233,46349085
1470505649,36609,46349530
1470505930,36587,46349450
1470526337,36544,46349405
1470530179,36515,46353205
1470585166,36539,46353251
1470599534,36562,46353270
1470612630,36521,46353225
1470670524,36502,46353231
1470672994,36389,46353082
1470699030,36378,46353067
1470746177,36361,46353071
1470753800,36394,46353087
1470785434,36418,46353120
1470804740,36479,46353203
1470819378,36444,46353168
1470848660,36118,46352806
1470871832,36207,46352972
1470917753,36487,46353269
1470919626,36903,46353700
1470958233,36919,46353718
1471004209,36968,46353779
1471004740,37048,46353861
1471005378,37078,46353897
1471044633,37072,46353900
1471085358,37070,46353907
1471131060,37065,46353905
1471185613,37030,46353869
1471217431,37014,46353854
1471288092,37070,46353925
1471303830,37052,46353904
1471361299,37018,46353876
1471390571,37148,46354016
1471405212,37141,46354010
1471454732,37155,46354007
1471476635,37184,46354038
1471488505,37185,46358134
1471536972,37112,46358044
1471551609,37125,46358048
1471563031,37126,46358048
1471600283,37366,46358358
1471610175,37381,46358368
1471618303,37403,46358415
1471649430,37510,46358489
1471712658,37502,46358476
1471727309,37463,46358440
1471735830,37430,46358378
1471781134,37418,46358374
1471783078,37538,46358493
1471784161,37614,46358573
1471822230,37590,46358547
1471873935,37622,46358610
1471908630,37600,46358589
1471924111,37575,46440482
1471947144,37623,46440545
1471983908,37801,46440640
1471986368,37793,46440628
1471995031,37810,46440642
1472035208,37909,46440765
1472037185,37978,46440846
1472071501,38036,46440971
1472081433,38072,46441003
1472123337,37933,46440888
1472167212,38035,46440978
1472167831,38049,46440989
1472223699,38238,46441174
1472224663,38286,46441224
1472254231,38373,46441324
1472313648,38469,46441378
1472340631,38463,46441374
1472387059,38421,46441406
1472416338,38460,46441446
1472427031,38544,46441535
1472460270,38648,46441634
1472489537,38694,46441666
1472513430,38667,46441636
1472562745,38721,46441721
1472592022,38767,46441762
1472599836,38771,46441767
1472635944,38919,46441927
1472658075,38992,46442009
1472665210,39004,46442020
1472686233,39061,46442079
1472738454,39150,46442186
1472753058,39102,46442128
1472765339,39224,46442257
1472772631,39243,46442274
1472841134,39474,46442535
1472855778,39520,46442599
1472859031,39513,46442594
1472914339,39571,46442654
1472945433,39579,46442668
1473031831,39600,46442713
1473078277,39749,46442906
1473091054,39693,46442771
1473118235,39702,46442835
1473177855,39843,46443003
1473192492,39712,46442950
1473204631,39706,46442993
1473231376,39640,46508460
1473248603,39853,46508668
1473251051,39914,46508745
1473291031,39906,46508755
1473333962,39814,46508691
1473338891,39666,46508478
1473377431,39662,46508491
1473426742,39646,46508454
1473434137,39669,46508488
1473456025,39749,46508577
1473463831,39719,46508551
1473500180,39739,46508568
1473520026,39728,46508586
1473550231,39706,46508559
1473602907,39988,46508848
1473617536,40009,46508860
1473646820,39961,46508811
1473676100,39963,46508802
1473690739,39954,46508793
1473696887,40054,46508892
1473720014,40169,46509020
1473768029,40079,46508895
1473783099,40020,46508681
1473793252,40094,46508860
1473854439,40100,46508787
1473869084,40148,46508822
1473895936,40173,46508856
1473940830,40203,46508875
1473969141,40104,46508806
1474038527,40170,46508843
1474113651,40321,46509000
1474130414,40362,46508979
1474159696,40323,46509010
1474200032,40299,46508985
1474218258,40775,46509539
1474232893,40833,46509588
1474247540,40869,46509635
1474276822,40811,46509584
1474286436,40765,46509534
1474303891,40754,46509541
1474372830,40809,46509604
1474386278,40805,46509595
1474459232,40868,46509664
1474469544,40831,46509624
1474470998,40882,46509680
1474545646,40994,46509794
1474556188,41082,46509873
1474625802,41025,46542577
1474632034,41050,46542636
1474639549,41168,46542764
1474642098,41180,46542792
1474643008,41186,46542801
1474718432,41230,46542852
1474800017,40872,50937572
1474804831,40869,50937576
1474891231,40883,50937589
1474928644,40995,50937697
1474977631,40978,50937681
1474987667,40943,50937631
1475014825,40933,50937648
1475064054,40919,50937630
1475099981,41005,50937707
1475150434,41047,50937741
1475184512,41114,50937796
1475236838,41136,50937818
1475255213,40929,50937594
1475261764,41009,50937682
1475323233,40994,50937658
1475328570,40943,50937592
1475328899,41114,50937792
1475409632,41090,50937769
1475496033,41044,50937728
1475497581,40918,50937625
1475499784,41026,50937757
1475500894,41096,50937823
1475582448,41106,50937834
1475585782,41140,50937837
1475589355,41206,50937933
1475607119,41299,50938044
1475668836,41328,50938071
1475675344,41414,50938158
1475676016,41493,50938249
1475682820,41574,50938339
1475755231,41590,50938355
1475765239,41669,50938409
1475791291,41762,50938507
1475841633,41802,50938548
1475848618,41778,50938533
1475853912,42380,50939260
1475928048,42483,50939363
1475934534,42558,50939455
1475936116,42638,50939546
1475936935,42570,50939468
1476014432,42724,50939624
1476100833,42762,50939664
1476110398,42707,50939593
1476114414,42871,50939756
1476114432,42823,50939700
1476187232,42844,50939721
1476190190,42902,50939789
1476198828,42928,50939811
1476273632,42958,50939841
1476302636,46486,50943553
1476358441,46543,50943607
1476360049,46604,50943669
1476403914,46521,50943579
1476446432,46534,50943590
1476478536,46539,50943616
1476509164,47201,50944390
1476532832,47201,50944389
1476619233,47223,50944401
1476630537,47307,50944488
1476631598,47322,50944482
1476705632,47291,50944451
1476711209,47247,50944419
1476792032,47168,50944349
1476802741,47516,50944736
1476828129,47464,50944670
1476878433,47400,50944607
1476888632,47453,50944670
1476913654,47464,50944691
1476964833,47473,50944705
1476969423,47491,50944739
1476981953,47540,50944788
1477051241,47561,50944807
1477053352,47719,50945000
1477063188,47763,50945038
1477068024,47733,50944995
1477137633,47721,50944981
1477224032,47799,50945096
1477226897,47808,50945101
1477231883,47214,50944529
1477233948,47287,50944599
1477310434,47323,50944636
1477313487,47273,50944594
1477314180,47259,50944584
1477314569,47236,50944553
1477396848,47258,50944583
1477407773,47249,50944574
1477416273,47239,50944566
1477422226,47211,50944526
1477483233,47250,50944597
1477494499,47315,50944670
1477509004,47703,50945088
1477569635,47717,50945139
1477574725,47829,50945263
1477587593,47870,50945305
1477656033,47921,50945389
1477674681,47809,50945249
1477676585,47859,50945308
1477688821,48087,50945555
1477742433,48060,50945567
1477762346,48083,50949693
1477798864,48027,50949629
1477800483,48087,50949691
1477828832,48190,50949882
1477849461,48191,50950138
1477856795,48258,50950227
1477869704,48309,50950286
1477915232,48230,50950221
1477941340,48342,50950338
1477941811,48464,50950460
1478001631,48494,50950496
1478014703,48368,50950374
1478088032,48364,50950384
1478089675,48245,50950270
1478095755,48161,50950161
1478107781,48353,50950378
1478174432,48340,50950362
1478176661,48431,50950478
1478181691,48599,50950671
1478192438,48526,50950589
1478260833,48523,50950583
1478267224,48886,50950956
1478267293,48936,50951013
1478281663,49014,50951112
1478347232,49001,50951095
1478356740,49157,50951280
1478358548,49218,50951354
1478433632,49187,50951303
1478520033,49114,50951216
1478531248,49079,50951196
1478555294,49097,50951219
1478606433,49123,50951241
1478617803,49016,50951119
1478648618,49012,50951137
1478692832,49006,50951131
1478699272,49207,50951329
1478699511,49253,50951369
1478737748,49262,50951375
1478779247,49281,50951385
1478779999,49242,50951388
1478807799,49243,50952412
1478865632,49266,50952443
1478878849,49361,50952492
1478891204,49571,50952757
1478952033,49572,50952765
1479038439,49653,50952850
1479124844,49675,50952877
1479145364,49897,50953143
1479211247,50104,50953354
1479226718,49858,50953094
1479234019,50107,50953379
1479297636,50223,50953496
1479313256,50212,50953509
1479314539,50097,50953381
1479370917,50169,50953462
1479384033,50215,50953510
1479396540,50248,50953542
