DateTime,Entries,UniqueIPs
1434479047,76,76
1434580713,76,76
1434580713,76,76
1434667360,76,76
1434667360,76,76
1434753929,74,74
1434840869,72,72
1434927617,72,72
1435014586,60,60
1435101503,58,58
1435188455,60,60
1435275404,59,59
1435362321,59,59
1435449255,57,57
1435622970,58,58
1435709934,57,57
1435796827,56,56
1435883784,55,55
1435970709,56,56
1436057726,57,57
1436144433,58,58
1436231709,56,56
1436318296,51,51
1436405230,51,51
1436492183,52,52
1436613821,53,53
1436700426,56,56
1436787422,56,56
1436874312,56,56
1436961254,57,57
1437048017,58,58
1437134995,57,57
1437221985,59,59
1437308833,58,58
1437395794,58,58
1437482717,61,61
1437748074,63,63
1437835024,66,66
1437921910,70,70
1438095648,69,69
1438182587,73,73
1438269502,72,72
1438356433,73,73
1438443390,73,73
1438530325,75,75
1438617283,76,76
1438704013,74,74
1438790971,73,73
1438948751,76,76
1439036059,77,77
1439123577,76,76
1439123577,76,76
1439123577,76,76
1439123577,76,76
1439210187,76,76
1439210187,76,76
1439384058,75,75
1439470822,73,73
1439557777,71,71
1439644792,69,69
1439644792,69,69
1439731650,69,69
1439818587,69,69
1439905559,71,71
1439992087,67,67
1440079228,68,68
1440079228,68,68
1440166735,72,72
1440341356,73,73
1440428437,73,73
1440515908,70,70
1440603389,70,70
1440690955,69,69
1440778227,61,61
1440865682,62,62
1440953155,61,61
1441041133,63,63
1441128442,59,59
1441215562,59,59
1441302865,61,61
1441390182,60,60
1441477293,62,62
1441564718,64,64
1441739402,68,68
1441826933,70,70
1442003313,72,72
1442090745,71,71
1442265516,71,71
1442352721,71,71
1442440300,72,72
1442614819,75,75
1442701832,74,74
1442789147,75,75
1442876485,74,74
1442963938,75,75
1443050946,72,72
1443138353,74,74
1443225387,74,74
1443312593,75,75
1443400100,80,80
1443487585,89,89
1443661934,86,86
1443749330,87,87
1443836856,85,85
1443924344,84,84
1444099323,85,85
1444186507,86,86
1444273843,84,84
1444361276,84,84
1444623539,82,82
1444711065,84,84
1444798510,84,84
1444885804,85,85
1444973274,85,85
1445060761,84,84
1445148093,86,86
1445244811,85,85
1445419698,86,86
1445594552,81,81
1445681966,82,82
1445769513,81,81
1445856892,76,76
1445944206,75,75
1446031681,69,69
1446119298,64,64
1446206429,65,65
1446293945,64,64
1446381425,64,64
1446470673,65,65
1446645358,64,64
1446733514,64,64
1446824324,65,65
1446911364,59,59
1446998583,60,60
1447173428,61,61
1447260882,60,60
1447348178,61,61
1447435693,61,61
1447523149,60,60
1447610441,60,60
1447697943,59,59
1447785414,58,58
1447872972,54,54
