DateTime,AddedIPs,RemovedIPs
1457723345,728,594
1457810446,357,807
1457897574,477,370
1457984979,623,448
1458072082,468,613
1458159161,4459,431
1458246298,172,4551
1458333417,40,287
1458420509,42,46
1458507648,9,35
1458594799,984,12
1458681884,3,985
1458769022,2049,2
1458856166,588,1767
1458943251,700,728
1459030384,532,722
1459117500,1414,397
1459204606,941,957
1459291730,624,966
1459378854,188,1215
1459466003,1677,202
1459553099,168,1676
1459640479,719,206
1459727581,620,598
1459814718,2320,381
1459901828,504,2366
1459988957,4546,474
1460076055,852,4221
1460163300,460,1425
1460250566,483,439
1460337683,295,505
1460424782,143,414
1460511884,2511,124
1460599050,788,2138
1460686138,1658,775
1460773292,911,1670
1460860387,1344,997
1460947502,1352,1191
1461034611,90,1782
1461121850,393,109
1461209148,4945,229
1461296299,127,5080
1461383398,87,154
1461470523,163,95
1461557643,680,142
1461644743,192,672
1461731885,52,247
1461819008,3851,52
1461906175,329,3242
1461993518,1604,622
1462080886,388,1680
1462168212,989,431
1462255338,1805,834
1462342579,164,2047
1462429701,167,251
1462516931,1736,67
1462604055,73,1625
1462691180,2370,104
1462778305,159,2445
1462865430,1332,176
1462952576,105,1402
1463039906,164,116
1463127095,454,138
1463214226,571,330
1463301523,341,548
1463388877,327,384
1463476257,435,418
1463563591,126,488
1463650709,250,129
1463737849,11027,193
1463824972,5731,7137
1463912078,157,9450
1463999428,1780,231
1464086581,163,1893
1464173905,60,211
1464261025,295,56
1464348177,141,266
1464435304,153,155
1464522633,187,139
1464609760,46,225
1464696873,42,44
1464784396,71,45
1464871616,313,66
1464958982,390,302
1465046317,163,380
1465133693,166,174
1465221027,196,159
1465308196,72,214
1465395567,74,72
1465482888,83,77
1465570227,75,81
1465657404,134,78
1465744740,52,136
1465831870,151,51
1465919176,29,152
1466006392,41,27
1466093665,83,29
1466181026,204,78
1466268189,3570,171
1466355359,1257,1463
1466442648,15,3411
1466529803,1966,16
1466617114,831,1482
1466704514,19,1318
1466791839,839,17
1466878980,181,230
1466966314,39,331
1467053670,201,84
1467141034,1,621
1467228164,52,1
1467315522,25,51
1467402652,26,25
1467489998,76,27
1467577124,114,68
1467664376,115,113
1467751595,44,123
1467839122,299,42
1467926325,109,171
1468013697,149,159
1468101048,135,183
1468188189,78,179
1468275531,117,69
1468362924,68,117
1468450231,59,69
1468537383,125,62
1468624724,148,120
1468711853,96,147
1468799192,211,91
1468886325,93,219
1468973706,4155,93
1469060871,165,4163
1469148160,1444,162
1469235519,836,1030
1469322648,1051,849
1469409989,598,1073
1469497108,789,390
1469584230,161,1187
1469671371,1403,162
1469758721,128,426
1469845842,308,185
1469933177,291,285
1470020329,369,443
1470107662,708,424
1470194778,592,518
1470281911,17,1699
1470369283,1321,20
1470456638,8,1326
1470543982,9,7
1470631109,171,11
1470718243,1272,167
1470805359,1787,496
1470892470,641,1519
1470979824,533,400
1471066978,987,566
1471154305,260,1369
1471241417,185,1128
1471328580,168,173
1471415912,1293,163
1471503030,10,1297
1471590229,349,24
1471677539,2274,297
1471764864,223,2282
1471851988,55,266
1471939104,370,53
1472026228,141,364
1472113356,392,128
1472200486,149,402
1472287840,131,155
1472374972,71,133
1472462307,74,68
1472549426,97,79
1472636560,109,101
1472723900,114,109
1472811018,163,108
1472898390,102,160
1472985490,46,112
1473072605,58,48
1473159778,47,57
1473247085,80,50
1473334330,96,78
1473421575,67,97
1473508689,68,63
1473596089,114,67
1473683420,88,117
1473770536,1471,86
1473857660,389,269
1473945061,900,1016
1474032372,212,301
1474119497,371,223
1474206600,448,439
1474293783,57,1549
1474381081,94,53
1474468215,1516,92
1474555345,978,388
1474642584,46,2108
1474729817,1241,49
1474816943,1113,126
1474904055,165,1093
1475165412,692,803
1475252519,346,197
1475339669,715,644
1475426770,1079,311
1475513891,238,1128
1475601014,73,1282
1475688121,1404,76
1475775258,370,291
1477605183,53,1484
1477692193,40,56
1477779381,38,41
1477866511,51,36
1477953629,28,53
1478040764,44,26
1478127798,41,46
1478215113,50,39
1478302237,31,50
1478389585,35,30
1478476766,16,36
1478564091,31,17
1478651444,37,30
1478738792,45,39
1478826219,16,45
1478913521,19,16
1479000880,23,19
1479088240,124,22
1479175410,32,125
1479262727,31,31
1479350075,7,31
1479437438,108,8
