DateTime,Entries,UniqueIPs
1438006574,10489,10489
1438093103,10676,10676
1438180036,10764,10764
1438266997,11141,11141
1438353996,11092,11092
1438440867,11181,11181
1438527620,11169,11169
1438614580,11166,11166
1438701520,11259,11259
1438788502,11504,11504
1438948746,11705,11705
1439036056,11550,11550
1439123574,11492,11492
1439123574,11492,11492
1439123574,11492,11492
1439123574,11492,11492
1439210184,11509,11509
1439210184,11509,11509
1439297135,11732,11732
1439384054,11671,11671
1439470818,11360,11360
1439557773,11175,11175
1439644789,11157,11157
1439644789,11157,11157
1439731646,11089,11089
1439818584,11095,11095
1439905555,11168,11168
1439992084,11138,11138
1440079224,11103,11103
1440079224,11103,11103
1440166732,10944,10944
1440254221,10766,10766
1440341353,10417,10417
1440428434,10254,10254
1440515904,10306,10306
1440603386,10259,10259
1440603386,10259,10259
1440690952,9987,9987
1440778224,9780,9780
1440865679,9425,9425
1440953152,9293,9293
1441041130,9168,9168
1441128438,9144,9144
1441215558,9097,9097
1441302861,8918,8918
1441390179,8825,8825
1441477290,8689,8689
1441564716,8560,8560
1441652086,8621,8621
1441739399,8842,8842
1441826930,8851,8851
1441914364,8784,8784
1442003310,8698,8698
1442090743,8527,8527
1442178057,8261,8261
1442265513,8223,8223
1442352717,8280,8280
1442440297,8249,8249
1442527391,8131,8131
1442614816,8017,8017
1442701828,8007,8007
1442789144,7983,7983
1442876482,8000,8000
1442963934,8014,8014
1443050943,7887,7887
1443138350,7755,7755
1443225384,7383,7383
1443312590,6832,6832
1443400096,6756,6756
1443487581,6783,6783
1443574847,6757,6757
1443661931,6839,6839
1443749327,6869,6869
1443836852,6943,6943
1443924317,6981,6981
1444011872,6986,6986
1444099319,7110,7110
1444186504,6855,6855
1444273839,6579,6579
1444361273,6403,6403
1444448775,6340,6340
1444536031,6222,6222
1444623536,6194,6194
1444711062,6417,6417
1444798507,6521,6521
1444885801,6480,6480
1444973271,6387,6387
1445060758,6426,6426
1445148090,6429,6429
1445244807,6386,6386
1445332170,6427,6427
1445419695,6454,6454
1445507139,6505,6505
1445594549,6580,6580
1445681963,6573,6573
1445769509,6577,6577
1445856889,6541,6541
1445944202,6560,6560
1446031678,6573,6573
1446119295,6551,6551
1446206426,6625,6625
1446293942,6328,6328
1446381422,6303,6303
1446470671,6277,6277
1446557830,6320,6320
1446645356,6790,6790
1446733511,7252,7252
1446824321,7481,7481
1446911361,7517,7517
1446998581,7524,7524
1447086010,7535,7535
1447173426,7840,7840
1447260880,7766,7766
1447348176,7694,7694
1447435690,7711,7711
1447523147,7641,7641
1447610439,7627,7627
1447697941,7626,7626
1447785412,7658,7658
1447872969,7675,7675
1447960475,7663,7663
1448049416,7644,7644
1448136587,7590,7590
1448224063,7589,7589
1448312011,7707,7707
1448402347,7705,7705
1448489387,7718,7718
1448578596,7722,7722
1448666125,7699,7699
1448753264,7646,7646
1448840780,7622,7622
1448928122,7605,7605
1449015510,7709,7709
1449103115,7859,7859
1449190454,7843,7843
1449277815,7388,7388
1449370834,6783,6783
1449458331,6609,6609
1449552917,6592,6592
1449640268,6735,6735
1449727832,7059,7059
1449815238,6578,6578
1449902300,6600,6600
1449989657,6630,6630
1450076996,6623,6623
1450164466,6621,6621
1450251951,6578,6578
1450339278,6537,6537
1450426722,6553,6553
1450513744,6542,6542
1450601171,6524,6524
1450688445,6539,6539
1450775538,6543,6543
1450862877,6522,6522
1450949931,6402,6402
1451037277,6399,6399
1451129551,6396,6396
1451216766,6368,6368
1451304070,6369,6369
1451391295,6392,6392
1451478446,6368,6368
1451565938,6350,6350
1451653285,6234,6234
1451740717,5918,5918
1451828212,5776,5776
1451915661,5776,5776
1452002990,5795,5795
1452090014,5792,5792
1452177494,5729,5729
1452312109,5260,5260
1452399549,5184,5184
1452487117,5032,5032
1452574497,5104,5104
1452661835,5061,5061
1452749303,5045,5045
1452836768,5023,5023
1452924148,5014,5014
1453011581,4995,4995
1453098811,4987,4987
1453185884,5000,5000
1453273004,5025,5025
1453360138,5025,5025
1453447254,5027,5027
1453534378,5032,5032
1453621512,5040,5040
1453708614,5051,5051
1453796016,4985,4985
1453883090,4996,4996
1453970461,4988,4988
1454057563,4958,4958
1454144699,4956,4956
1454231808,4963,4963
1454318938,5005,5005
1454406057,4999,4999
1454493279,4993,4993
1454580387,5047,5047
1454667652,5030,5030
1454754786,5013,5013
1454842088,5034,5034
1454929265,5049,5049
1455016427,5040,5040
1455103506,5044,5044
1455190603,4942,4942
1455277756,4937,4937
1455364866,4923,4923
1455451969,4921,4921
1455539086,4935,4935
1455626243,5456,5456
1455713340,5689,5689
1455800456,5737,5737
1455887589,5706,5706
1455974679,5701,5701
1456061858,5699,5699
1456148936,5716,5716
1456236075,5701,5701
1456323234,5690,5690
1456410366,5730,5730
1456497453,5839,5839
1456584598,5902,5902
1456671693,5905,5905
1456758831,5975,5975
1456845918,6013,6013
1456933046,6037,6037
1457020174,6047,6047
1457107305,6039,6039
1457194435,16665,16665
1457281529,18752,18752
1457368712,18930,18930
1457456026,19093,19093
1457543206,19201,19201
1457630625,19411,19411
1457717855,19583,19583
1457804985,19802,19802
1457892100,19901,19901
1457979229,20402,20402
1458066389,20502,20502
1458153740,20791,20791
1458241059,20906,20906
1458328183,20832,20832
1458415321,20966,20966
1458502438,21088,21088
1458589519,21177,21177
1458676657,21248,21248
1458763783,21412,21412
1458850813,21889,21889
1458937960,22041,22041
1459025076,22124,22124
1459112207,22108,22108
1459199674,22194,22194
1459286998,22320,22320
1459374370,22383,22383
1459461493,22453,22453
1459548630,22514,22514
1459635737,22539,22539
1459722960,22592,22592
1459810578,10181,10181
1459897795,10034,10034
1459985158,10021,10021
1460072257,10099,10099
1460159421,10050,10050
1460246571,9961,9961
1460334050,9921,9921
1460421245,9900,9900
1460508390,9881,9881
1460595726,9811,9811
1460682870,9558,9558
1460769930,9413,9413
1460857045,9357,9357
1460944182,9454,9454
1461031323,9410,9410
1461118430,9342,9342
1461205571,9333,9333
1461292702,9291,9291
1461379702,8738,8738
1461466865,8625,8625
1461553950,8538,8538
1461641088,8361,8361
1461728184,8006,8006
1461815299,7944,7944
1461902428,7920,7920
1461989561,7738,7738
1462076648,7708,7708
1462163785,7713,7713
1462250906,7710,7710
1462338068,6573,6573
1462425151,6610,6610
1462512278,6637,6637
1462599391,6657,6657
1462686534,6621,6621
1462773663,6579,6579
1462860753,6595,6595
1462947878,6607,6607
1463034974,6624,6624
1463122109,6661,6661
1463209232,6709,6709
1463296393,6724,6724
1463383456,6759,6759
1463470594,6813,6813
1463557719,6852,6852
1463644833,6876,6876
1463731947,6867,6867
1463819057,6857,6857
1463906183,6888,6888
1463993301,6940,6940
1464080452,7010,7010
1464167743,7091,7091
1464254820,7146,7146
1464342021,7191,7191
1464429093,7230,7230
1464516271,7243,7243
1464603384,7261,7261
1464690572,7289,7289
1464777635,7385,7385
1464864749,7439,7439
1464951876,7477,7477
1465039031,8144,8144
1465126143,8148,8148
1465213221,8150,8150
1465300351,8194,8194
1465387457,8192,8192
1465474620,8182,8182
1465561707,8495,8495
1465648819,8501,8501
1465735949,8477,8477
1465823080,8490,8490
1465910186,8512,8512
1465997301,8155,8155
1466084434,8154,8154
1466171555,8160,8160
1466258672,8021,8021
1466345805,8021,8021
1466432906,8023,8023
1466520030,8089,8089
1466607143,8093,8093
1466694258,8074,8074
1466781377,9017,9017
1466868503,8975,8975
1466955617,8956,8956
1467042763,8932,8932
1467129870,8793,8793
1467216992,8935,8935
1467304162,9230,9230
1467391245,9293,9293
1467478339,9346,9346
1467565468,9396,9396
1467652599,9200,9200
1467739697,9433,9433
1467826827,9314,9314
1467913984,9576,9576
1468001062,9621,9621
1468088188,9685,9685
1468175307,9265,9265
1468262431,9306,9306
1468349549,9334,9334
1468436668,9359,9359
1468523795,9563,9563
1468610910,9626,9626
1468698040,9744,9744
1468785148,9768,9768
1468872267,9826,9826
1468959377,9896,9896
1469046506,9947,9947
1469133615,10003,10003
1469220741,10042,10042
1469307868,10087,10087
1469395075,9825,9825
1469482108,8923,8923
1469569231,8973,8973
1469656339,8990,8990
1469743460,8926,8926
1469830589,8825,8825
1469917700,8720,8720
1470004833,8705,8705
1470091949,8739,8739
1470179053,8724,8724
1470266188,8438,8438
1470353310,8223,8223
1470440421,8287,8287
1470527538,8306,8306
1470614675,8180,8180
1470701801,8248,8248
1470788897,8282,8282
1470876022,8273,8273
1470963151,8294,8294
1471050264,9320,9320
1471137386,9334,9334
1471224537,9308,9308
1471311640,10595,10595
1471398742,10887,10887
1471485873,10891,10891
1471572991,10862,10862
1471660108,10843,10843
1471747229,10885,10885
1471834358,11022,11022
1471921466,11083,11083
1472008593,11165,11165
1472095716,11171,11171
1472182825,11223,11223
1472269981,11173,11173
1472357329,11092,11092
1472444435,11040,11040
1472531555,11127,11127
1472618661,11165,11165
1472705797,11173,11173
1472792906,11165,11165
1472880039,11154,11154
1472967436,11086,11086
1473054512,11027,11027
1473141665,11013,11013
1473228743,11101,11101
1473315852,11085,11085
1473402995,11149,11149
1473490107,11169,11169
1473577282,11168,11168
1473664608,10279,10279
1473751704,10284,10284
1473839234,10339,10339
1473926470,10361,10361
1474013547,10425,10425
1474100659,10344,10344
1474187798,10485,10485
1474274908,11065,11065
1474362062,11286,11286
1474449152,11257,11257
1474536254,11249,11249
1474623412,11307,11307
1474710501,11349,11349
1474797679,11445,11445
1474884747,11467,11467
1474971852,11572,11572
1475058978,11641,11641
1475233333,11481,11481
1475320338,11591,11591
1475407455,11740,11740
1475494578,11941,11941
1475581714,12240,12240
1475668869,12436,12436
1475755952,12574,12574
1475843065,12735,12735
1475930184,12868,12868
1476017307,12951,12951
1476104493,13086,13086
1476191575,13222,13222
1476278663,13660,13660
1476365784,13687,13687
1476452905,13578,13578
1476540073,13044,13044
1476627161,12875,12875
1476714260,12779,12779
1476801388,12651,12651
1476888524,11929,11929
1476975672,10695,10695
1477062886,10563,10563
1477150098,10938,10938
1477237250,10640,10640
1477324336,10483,10483
1477411722,10351,10351
1477498817,10298,10298
1477585960,10012,10012
1477673060,9839,9839
1477760193,9791,9791
1477847306,9724,9724
1477934426,9601,9601
1478021566,9486,9486
1478108676,9350,9350
1478195799,9144,9144
1478282913,9000,9000
1478370273,8808,8808
1478457394,8631,8631
1478544495,8411,8411
1478631681,8285,8285
1478718771,8096,8096
1478805871,7920,7920
1478892986,7704,7704
1478980141,7552,7552
1479067272,7467,7467
1479154360,7369,7369
1479241481,9545,9545
1479328594,9519,9519
1479415725,10150,10150
