DateTime,Entries,UniqueIPs
1437993400,95,99
1438079798,94,95
1438166190,96,97
1438252592,95,96
1438337901,49,50
1438349796,97,99
1438427911,95,98
1438513764,93,94
1438599612,97,97
1438686017,96,96
1438772072,97,97
1438948586,49,50
1439030734,90,93
1439114423,48,50
1439118557,90,93
1439190565,93,93
1439194723,93,93
1439200210,93,93
1439204058,98,98
1439238876,98,98
1439288320,50,50
1439292448,98,98
1439378841,98,98
1439461118,50,50
1439465239,94,94
1439547518,50,50
1439551642,96,96
1439638038,99,99
1439647152,99,99
1439720833,50,50
1439724985,95,95
1439810832,94,94
1439893102,50,50
1439897237,99,99
1439913630,50,50
1440419782,50,50
1440506178,97,97
1440592573,97,97
1440666558,97,97
1440675928,50,50
1440680052,97,97
1440762331,50,50
1440766448,95,95
1440852853,96,96
1440938731,99,99
1441023530,50,50
1441027634,95,95
1441110020,50,50
1441114036,99,99
1441200431,96,96
1441282719,50,50
1441286837,99,99
1441370720,93,93
1441449371,50,50
1441457663,98,98
1441543521,95,95
1441628372,50,50
1441632454,97,97
1441718359,97,97
1441804157,95,95
1441890018,99,99
1441972456,50,50
1441976422,95,95
1442060850,50,50
1442064985,94,94
1442147831,50,50
1442151832,97,97
1442237795,91,91
1442320577,50,50
1442324714,99,99
1442407021,50,50
1442411125,98,98
1442542728,96,96
1442583910,98,98
1442669799,96,96
1442755649,92,92
1442838445,50,50
1442842583,97,97
1442928992,96,96
1443011246,50,50
1443015383,95,95
1443101784,97,97
1443184062,50,50
1443188217,97,97
1443274629,98,98
1443361003,91,91
1443447410,94,94
1443533255,98,98
1443619653,98,98
1443706053,94,94
1443788325,50,50
1443792450,95,95
1443878851,91,91
1443961129,50,50
1443965259,94,94
1444047530,50,50
1444051679,96,96
1444138091,99,99
1444220334,50,50
1444224460,99,99
1444310857,95,95
1444397249,96,96
1444483109,98,98
1444569505,90,90
1444654461,94,94
1444740861,97,97
1444823142,50,50
1444827261,96,96
1444913507,96,96
1444999520,50,50
1445003649,95,95
1445089529,98,98
1445175394,96,96
1445261889,96,96
1445346048,98,98
1445432053,96,96
1445537621,96,96
1445599685,50,50
1445607939,95,95
1445694348,93,93
1445779123,95,95
1445862442,50,50
1445866586,93,93
1445948869,50,50
1445952986,99,99
1446037360,99,99
1446123626,97,97
1446209142,50,50
1446213267,97,97
1446296444,97,97
1446379263,50,50
1446383382,91,91
1446472459,96,96
1446555618,99,99
1446644179,50,50
1446731663,50,50
1446820033,50,50
1447455251,50,50
1447533375,95,95
1447619797,50,50
1447706209,50,50
1447794037,50,50
1447879012,97,97
1447965416,50,50
1448051816,98,98
1448136564,98,98
1448222973,50,50
1448312500,50,50
1448403059,50,50
1448487456,99,99
1448579440,50,50
1448658033,98,98
1448748674,50,50
1448833587,94,94
1448916356,96,96
1449001649,94,94
1449090029,50,50
1449175538,95,95
1449264496,50,50
1449347231,92,92
1449434204,50,50
1449521677,50,50
1449606999,98,98
1449692337,93,93
1449780335,50,50
1449866726,98,98
1449952059,94,94
1450039554,50,50
1450124846,99,99
1450220064,50,50
1450300166,99,99
1450384048,95,95
1450469620,97,97
1450559379,50,50
1450644407,97,97
1450736922,50,50
1450817171,91,91
1450905544,50,50
1450991915,91,91
1451082006,50,50
1451164215,95,95
1451247559,93,93
1451342267,50,50
1451421934,92,92
1451509234,50,50
1451595624,98,98
1451636842,50,50
1451682025,92,92
1451768966,50,50
1451854839,96,96
1451941229,96,96
1452026728,96,96
1452113192,50,50
1452200971,50,50
1452286827,96,96
1452373228,50,50
1452459634,50,50
1452546562,50,50
1452632056,97,97
1452718860,50,50
1452804948,93,93
1452888851,95,95
1452977682,50,50
1453064890,50,50
1453151291,49,50
1453237700,50,50
1453323871,98,98
1453410490,50,50
1453495207,100,100
1453580167,98,98
1453669208,50,50
1453753457,98,98
1453842019,50,50
1453929377,50,50
1454726659,50,50
1454734334,95,96
1454822897,50,50
1454907618,97,97
1454992094,94,94
1455081135,50,50
1455166098,96,96
1455254897,49,50
1455339862,93,94
1455424335,99,99
1455512650,48,50
1455598089,93,95
1455686412,50,50
1455771132,96,96
1455859689,49,50
1455944165,92,93
1456031046,49,50
1456117447,50,50
1456202409,97,97
1456291206,50,50
1456374985,95,96
1456463597,50,50
1456550659,50,50
1456696090,50,50
1456723218,96,96
1456808180,99,99
1456893371,96,98
1456980008,49,50
1457066406,96,97
1457154981,49,50
1457239929,95,97
1457328497,50,50
1457411535,97,98
1457498411,49,50
1457585295,50,50
1457674586,49,50
1457758104,92,93
1457844746,50,50
1457932130,49,50
1458016807,97,98
1458105620,50,50
1458190092,97,98
1458278415,50,50
1458365289,50,50
1458449769,100,100
1458534735,98,98
1458623063,50,50
1458711155,48,50
1458796595,94,96
1458882051,97,98
1458970351,50,50
1459055313,95,96
1459140036,93,95
1459228830,48,50
1459313563,96,98
1459399709,97,97
1459485152,98,98
1459574666,50,50
1459659621,94,96
1459744812,92,96
1459837499,49,50
1459918583,94,95
1460003788,97,97
1460092360,50,50
1460177068,93,93
1460266362,50,50
1460352059,96,96
1460436989,93,98
1460524103,49,50
1460609053,99,100
1460694985,97,97
1460784263,50,50
1460869478,92,93
1460957545,48,50
1461040600,94,96
1461127231,50,50
1461213618,98,98
1461300031,50,50
1461387871,50,50
1461476175,50,50
1461560904,95,96
1461645850,93,96
1461734409,50,50
1461821297,49,50
1461906042,98,99
1461992425,94,97
1462080740,48,50
1462165220,95,98
1462251624,50,50
1462338031,50,50
1462426345,50,50
1462510825,96,96
1462599138,50,50
1462683854,97,97
1462772177,49,50
1462856780,96,100
1462944979,50,50
1463030667,99,99
1463115378,94,95
1463260096,50,50
1463287213,97,97
1463375552,48,50
1463460012,96,99
1463548816,50,50
1463633535,94,95
1463722100,50,50
1463806574,94,96
1463895377,50,50
1463980095,96,98
1464066502,49,50
1464152908,48,50
1464237860,94,98
1464327140,50,50
1464411618,96,97
1464500181,49,50
1464584652,90,94
1464673215,47,50
1464757692,87,94
1464842650,95,98
1464931696,49,50
1465016174,95,96
1465104736,50,50
1465189451,95,96
1465320742,49,50
1465370665,93,95
1465455852,94,95
1465544416,48,50
1465628895,93,96
1465717217,50,50
1465801945,94,95
1465888583,50,50
1465977144,50,50
1466061857,96,96
1466147302,99,99
1466235618,49,50
1466320575,90,94
1466409137,50,50
1466493612,90,94
1466581937,49,50
1466666416,95,97
1466754739,50,50
1466839227,93,95
1466927779,48,50
1467012737,94,96
1467097292,94,95
1467186011,48,50
1467270495,92,98
1467358818,50,50
1467445950,47,50
1467672269,48,50
1467757215,95,98
1467841940,90,93
1467930755,49,50
1468015459,95,96
1468104252,49,50
1468188737,86,90
1468275383,48,50
1468361787,49,50
1468447266,95,96
1468535778,49,50
1468620255,95,99
1468708578,45,50
1468794495,82,90
1468878977,94,95
1468967300,49,50
1469052088,92,94
1469140346,50,50
1469224842,94,94
1469311240,89,91
1469400247,48,50
1469484972,91,94
1469571615,50,50
1469659935,49,50
1469744663,94,96
1469829146,94,97
1469917462,50,50
1470003847,96,98
1470088572,96,98
1470176896,49,50
1470261368,92,94
1470349933,50,50
1470434442,95,97
1470522737,49,50
1470607453,92,93
1470696253,49,50
1470782431,95,97
1470866897,95,97
1470955211,47,50
1471039940,82,89
1471128254,49,50
1471212974,96,99
1471299373,92,96
1471387690,49,50
1471472177,97,98
1471560733,48,50
1471645695,94,97
1471730174,90,91
1471818976,49,50
1471903694,94,95
1471992988,49,50
1472077713,90,94
1472162180,91,96
1472250735,48,50
1472337396,49,50
1472422341,93,94
1472510902,49,50
1472595615,94,97
1472683943,50,50
1472768903,98,99
