DateTime,AddedIPs,RemovedIPs
1454185957,5,13
1454272382,5,2
1454358949,6,8
1454445203,8,10
1454705064,7,7
1454791443,3,4
1454877824,5,5
1454964284,6,7
1455050669,3,4
1455137059,5,6
1455223444,8,3
1455309836,5,8
1455396180,7,3
1455482610,2,5
1455569003,5,3
1455655446,1,5
1455741806,1,4
1455828278,5,7
1455914560,4,2
1456000995,3,6
1456088003,4,6
1456173824,5,2
1456260226,5,6
1456346650,6,3
1456432997,2,2
1456519460,3,9
1456605787,9,5
1456692193,3,7
1456778660,5,6
1456865296,7,5
1456951462,3,9
1457037827,7,4
1457124219,3,7
1457210568,5,6
1457297032,7,4
1457383425,4,4
1457469938,7,10
1457556295,8,11
1457642673,12,5
1457729251,4,6
1457815604,13,10
1457898517,6,7
1457984790,6,13
1458071117,12,5
1458157490,5,10
1458243844,5,6
1458330218,4,6
1458416611,5,4
1458503096,5,4
1458589591,3,6
1458676044,6,4
1461872606,23,25
1461959027,5,11
1462045391,7,1
1462131811,1,6
1462218299,6,3
1462304646,2,8
1462391040,5,5
1462477415,6,5
1462563773,5,5
1462650077,2,6
1462736513,3,9
1462822978,6,6
1462909404,9,4
1462995827,4,6
1463082163,6,6
1463168535,7,3
1463254952,3,6
1463341336,5,2
1463427888,1,8
1463514269,5,2
1463600684,3,8
1463687080,5,6
1463773548,10,7
1463859695,5,1
1463946206,5,6
1464032911,6,6
1464119088,5,7
1464205470,9,5
1464291957,2,5
1464378267,5,8
1464464573,6,4
1464550967,5,7
1464637433,5,4
1464723910,7,3
1464810265,2,4
1464896667,4,3
1464983081,1,3
1465069414,1,1
1465155811,3,3
1465242339,4,5
1465328629,6,4
1465371845,2,9
1465458285,5,2
1465544619,4,4
1465630993,3,3
1465717569,1,3
1465803899,3,7
1465890531,9,6
1465976633,5,5
1466063096,6,5
1466149507,6,5
1466235803,6,7
1466322184,5,2
1466408568,4,6
1466495032,5,2
1466581372,2,4
1466667721,4,5
1466754215,5,5
1466883684,4,1
1466970118,1,2
1467056465,2,5
1467142890,3,8
1467229414,10,6
1467315790,5,5
1467402260,4,2
1467488655,2,4
1467575041,3,3
1467661413,3,9
1467747865,5,5
1467834345,4,2
1467920679,3,6
1468007019,5,4
1468093361,5,3
1468179759,3,4
1468266208,7,4
1468352643,3,4
1468439041,2,4
1468525475,2,4
1468611834,4,4
1468698246,3,10
1468784685,9,9
1468871104,11,6
1468957552,4,7
1469043878,6,7
1469130369,6,3
1469216776,4,7
1469303073,8,3
1469389420,3,6
1469475867,9,13
1469562060,12,10
1469648687,7,1
1469735150,0,8
1469821405,7,8
1469907756,8,6
1469994178,4,5
1470080634,6,5
1470167018,6,3
1470253363,5,6
1470339788,5,5
1470426190,4,5
1470512618,4,6
1470599039,4,2
1470685417,4,11
1470771785,8,3
1470858198,6,7
1470944615,2,4
1471030982,5,3
1471117343,6,4
1471203819,4,5
1471290187,4,2
1471376578,1,4
1471463166,4,8
1471549426,7,4
1471635743,4,1
1471722187,3,8
1471808567,5,10
1471895001,10,5
1471981350,6,4
1472067753,5,3
1472154203,3,4
1472240571,2,5
1472326971,4,4
1472413335,4,3
1472499748,3,4
1472586197,4,4
1472672617,1,2
1472759045,4,4
1472845427,5,4
1472931866,3,7
1473018257,6,3
1473104664,2,10
1473191138,11,2
1473277488,1,2
1473363892,1,7
1473450325,10,4
1473536648,4,2
1473623051,3,5
1473709416,2,5
1473795830,4,5
1473882234,6,6
1473968655,5,4
1474055063,4,5
1474141417,3,3
1474227830,2,7
1474314309,8,10
1474400586,9,1
1474486997,1,4
1474573386,5,2
1474659746,2,8
1474746272,6,6
1474832641,6,2
1474919053,4,3
1475005401,6,4
1475091734,5,2
1475178132,2,6
1475264550,4,2
1475350860,4,2
1475437267,1,8
1475523716,5,4
1475610125,4,5
1475696495,4,7
1475782923,4,5
1475869244,7,4
1475955614,4,5
1476042066,6,5
1476128568,3,6
1476214877,5,8
1476301211,6,4
1476387718,3,10
1476474079,11,6
1476560461,4,3
1476646796,2,4
1476733190,6,4
1476819668,5,5
1476906064,6,8
1476992485,4,5
1477079032,4,10
1477165234,11,7
1477251642,7,6
1477338047,7,3
1477424466,4,5
1477510862,5,9
1477597360,6,5
1477683664,6,4
1477770025,3,3
1477856425,5,2
1477942965,2,7
1478029337,6,8
1478115702,7,3
1478202006,1,9
1478288401,9,9
1478374792,6,3
1478417999,3,2
1478464797,4,3
1478551158,2,8
1478637648,6,5
1478723963,4,3
1478810400,4,5
1478896746,5,0
1478983119,0,4
1479069548,2,1
1479155977,3,3
1479242418,0,3
1479328839,4,2
1479415244,3,1
