DateTime,Entries,UniqueIPs
1440268840,5967,6041
1440355836,5911,5985
1440442806,5885,5953
1440529810,5962,6038
1440616855,5949,6023
1440616855,5949,6023
1440703807,5949,6023
1440790839,5942,6016
1440877829,5945,6019
1440964806,5941,6015
1441051810,5940,6017
1441138821,6002,6078
1441225804,6065,6142
1441312828,6064,6139
1441399844,6090,6166
1441486819,6075,6153
1441573827,6089,6167
1441660830,6069,6139
1441747805,6071,6145
1441834809,6077,6158
1441921831,6046,6110
1442008805,5996,6083
1442095823,6010,6097
1442182840,6028,6134
1442269804,6012,6117
1442356808,6097,6203
1442443816,6069,6175
1442530808,6073,6181
1442530808,6073,6181
1442617811,6094,6204
1442704855,6138,6249
1442878809,6127,6238
1442965823,6091,6195
1443052817,6119,6225
1443139853,6116,6221
1443226824,6130,6236
1443313806,6133,6239
1443400812,6132,6239
1443487819,6168,6284
1443574816,6145,6260
1443661858,6185,6299
1443748881,6232,6347
1443835802,6249,6365
1443922873,6284,6400
1444009818,6296,6413
1444096820,6285,6399
1444183844,6244,6357
1444270814,6215,6284
1444357807,6223,6293
1444444918,6205,6268
1444531865,6199,6262
1444618814,6211,6273
1444705811,6175,6233
1444792814,6196,6255
1444966852,6165,6225
1445053826,6167,6228
1445140803,6160,6223
1445227814,6177,6240
1445401806,6174,6238
1445488819,6166,6229
1445575821,6210,6274
1445662817,6198,6262
1445749805,6251,6316
1445836804,6269,6332
1445923804,6272,6337
1446010808,6268,6336
1446097805,6265,6333
1446184812,6227,6295
1446271816,6283,6415
1446445804,6430,6556
1446532805,6379,6447
1446619804,6393,6464
1446706805,6361,6431
1446793806,6355,6425
1446880866,6401,6468
1447054823,6383,6446
1447141824,6376,6439
1447315806,6450,6515
1447402826,6377,6440
1447489803,6389,6453
1447663810,6372,6435
1447750809,6371,6434
1447924827,6433,6496
1448098842,6474,6539
1448272810,6434,6499
1448359809,6418,6481
1448446813,6424,6487
1448533804,6414,6477
1448707829,6433,6496
1448794808,6457,6519
1448881820,6398,6461
1448968803,6501,6564
1449055804,6563,6630
1449142833,6520,6587
1449229816,6587,6654
1449316815,6612,6675
1449403804,6586,6650
1449490851,6597,6661
1449664810,6642,6710
1449751820,6646,6714
1449838809,6663,6735
1449925823,6677,6749
1450099803,6637,6707
1450186823,6623,6692
1450273805,6654,6724
1450360811,6636,6708
1450447832,6649,6721
1450534828,6669,6740
1450621804,6641,6714
1450708821,6647,6720
1450795816,6646,6719
1450882813,6626,6698
1450969818,6602,6675
1451056802,6577,6649
1451143803,6565,6636
1451230907,6570,6641
1451317831,6556,6628
1451404815,6597,6668
1451491910,6612,6685
1451578847,6601,6672
1451665805,6667,6740
1451752819,6646,6719
1451839824,6647,6720
1451926811,6769,6840
1452013818,6827,6899
1452100804,6825,6894
1452187803,6804,6874
1452274812,6878,6954
1452361832,6803,6875
1452448813,6984,7057
1452535830,6795,6868
1452622819,6820,6895
1452709804,6799,6874
1452796815,6803,6876
1452883815,6795,6866
1452970806,6787,6858
1453057822,6787,6858
1453144809,6789,6861
1453231805,6834,6905
1453318811,6843,6915
1453405822,6843,6915
1453492810,6812,6883
1453579845,6781,6852
1453666804,6809,6882
1453753807,6938,7004
1453927816,6793,6867
1454014803,6810,6887
1454101811,6786,6864
1454275803,6793,6873
1454362834,6816,6895
1454449821,6908,6990
