DateTime,Entries,UniqueIPs
1473904331,123191,123191
1473918731,123199,123199
1473933130,123207,123207
1473947530,123215,123215
1473961931,123222,123222
1473976330,123226,123226
1473990733,123232,123232
1474005131,123239,123239
1474019531,123249,123249
1474033930,123256,123256
1474048332,123265,123265
1474062730,123271,123271
1474077131,123280,123280
1474091568,123286,123286
1474105930,123290,123290
1474120330,123300,123300
1474134730,123307,123307
1474149134,123363,123363
1474163530,123428,123428
1474177934,123448,123448
1474192330,123463,123463
1474206731,123471,123471
1474221130,123480,123480
1474235530,123490,123490
1474249930,123498,123498
1474264334,123501,123501
1474278730,123507,123507
1474293132,123543,123543
1474307534,123596,123596
1474321933,123622,123622
1474336332,123648,123648
1474350736,123663,123663
1474365132,123669,123669
1474394534,123680,123680
1474409229,123698,123698
1474423629,123715,123715
1474438029,123727,123727
1474452431,123742,123742
1474466832,123755,123755
1474481230,123764,123764
1474495930,123771,123771
1474510630,123780,123780
1474525030,123788,123788
1474539432,123799,123799
1474553834,123807,123807
1474568234,123816,123816
1474582631,123826,123826
1474597330,123829,123829
1474612029,123840,123840
1474626430,123849,123849
1474640831,123854,123854
1474655230,123861,123861
1474669632,123868,123868
1474684029,123879,123879
1474698429,123887,123887
1474712829,123896,123896
1474727229,123906,123906
1474741663,123918,123918
1474756029,123928,123928
1474770432,123935,123935
1474784832,123943,123943
1474799230,123947,123947
1474813630,123953,123953
1474828029,123963,123963
1474842429,123965,123965
1474856835,123980,123980
1474871231,123986,123986
1474885630,124001,124001
1474900630,124008,124008
1474915029,124011,124011
1474929429,124017,124017
1474943830,124026,124026
1474958229,124033,124033
1474972630,124037,124037
1474987030,124046,124046
1475001430,124055,124055
1475015829,124061,124061
1475030230,124063,124063
1475044630,124068,124068
1475059031,124076,124076
1475073730,124080,124080
1475088431,124088,124088
1475102830,124097,124097
1475117230,124102,124102
1475131637,124111,124111
1475146031,124121,124121
1475160431,124128,124128
1475174834,124139,124139
1475189229,124150,124150
1475203631,124166,124166
1475218035,124174,124174
1475232430,124189,124189
1475246830,124195,124195
1475261234,124206,124206
1475275631,124219,124219
1475290029,124233,124233
1475304431,124249,124249
1475318831,124277,124277
1475333529,124294,124294
1475347931,124314,124314
1475362331,124340,124340
1475376729,124351,124351
1475391128,124365,124365
1475405529,124375,124375
1475419929,124387,124387
1475434329,124401,124401
1475448730,124415,124415
1475463129,124423,124423
1475477529,124427,124427
1475491929,124440,124440
1475506329,124447,124447
1475520738,124454,124454
1475535138,124463,124463
1475549536,124473,124473
1475563930,124487,124487
1475578329,124498,124498
1475592729,124505,124505
1475607130,124515,124515
1475621529,124518,124518
1475635929,124530,124530
1475650329,124538,124538
1475664729,124544,124544
1475679129,124555,124555
1475693529,124563,124563
1475707930,124570,124570
1475722335,124583,124583
1475736730,124599,124599
1475751129,124616,124616
1475765530,124631,124631
1475779931,124643,124643
1475794331,124655,124655
1475808729,124666,124666
1475823130,124671,124671
1475837531,124691,124691
1475851930,124702,124702
1475866330,124712,124712
1475880733,124728,124728
1475895130,124742,124742
1475909531,124758,124758
1475923930,124778,124778
1475938629,124792,124792
1475953031,124803,124803
1475967434,124809,124809
1475981829,124820,124820
1475996229,124837,124837
1476010629,124844,124844
1476025030,124852,124852
1476039429,124863,124863
1476053831,124877,124877
1476068232,124889,124889
1476082930,124899,124899
1476097629,124905,124905
1476112329,124919,124919
1476126730,124931,124931
1476141133,124941,124941
1476155531,124944,124944
1476169929,124957,124957
1476184332,124964,124964
1476198731,124985,124985
1476213129,125014,125014
1476227531,125034,125034
1476241929,125052,125052
1476256330,125077,125077
1476270729,125094,125094
1476285130,125115,125115
1476299530,125138,125138
1476314231,125151,125151
1476328635,125170,125170
1476343031,125188,125188
1476357434,125202,125202
1476371830,125230,125230
1476386231,125255,125255
1476400630,125265,125265
1476415031,125280,125280
1476429430,125299,125299
1476443833,125308,125308
1476458230,125316,125316
1476472633,125333,125333
1476487030,125345,125345
1476501430,125357,125357
1476515831,125372,125372
1476530231,125386,125386
1476544631,125397,125397
1476559030,125418,125418
1476573431,125427,125427
1476587830,125435,125435
1476602230,125448,125448
1476616630,125460,125460
1476631030,125466,125466
1476645430,125479,125479
1476659833,125484,125484
1476674239,125495,125495
1476688642,125502,125502
1476703340,125507,125507
1476718030,125519,125519
1476732430,125531,125531
1476746833,125539,125539
1476761238,125544,125544
1476775639,125548,125548
1476790030,125557,125557
1476804434,125562,125562
1476818832,125575,125575
1476833231,125581,125581
1476847630,125589,125589
1476862031,125595,125595
1476876429,125601,125601
1476890831,125609,125609
1476905229,125621,125621
1476919930,125632,125632
1476934333,125642,125642
1476948732,125649,125649
1476963131,125658,125658
1476977529,125667,125667
1476991929,125675,125675
1477006332,125680,125680
1477020729,125689,125689
1477035129,125698,125698
1477049529,125709,125709
1477063931,125735,125735
1477078338,125750,125750
1477092730,125758,125758
1477107176,125764,125764
1477121532,125774,125774
1477135933,125784,125784
1477150333,125791,125791
1477164731,125804,125804
1477179132,125811,125811
1477193531,125820,125820
1477207935,125834,125834
1477222331,125845,125845
1477236733,125849,125849
1477251132,125856,125856
1477265531,125863,125863
1477279931,125870,125870
1477294342,125881,125881
1477308730,125890,125890
1477323139,125904,125904
1477337540,125908,125908
1477395132,125957,125957
1477409532,125976,125976
1477423935,126004,126004
1477438331,126020,126020
1477452729,126036,126036
1477467130,126051,126051
1477481533,126066,126066
1477495937,126090,126090
1477510331,126110,126110
1477524730,126131,126131
1477539129,126146,126146
1477553535,126163,126163
1477567931,126180,126180
1477582333,126196,126196
1477596737,126208,126208
1477611135,126224,126224
1477625530,126242,126242
1477639932,126258,126258
1477654332,126271,126271
1477668735,126288,126288
1477683135,126307,126307
1477697534,126321,126321
1477711965,126339,126339
1477726333,126347,126347
1477740734,126363,126363
1477755132,126375,126375
1477769532,126394,126394
1477783934,126410,126410
1477798331,126421,126421
1477812732,126437,126437
1477827130,126450,126450
1477841530,126468,126468
1477855946,126479,126479
1477870332,126495,126495
1477884731,126509,126509
1477899129,126522,126522
1477913832,126537,126537
1477928232,126551,126551
1477942630,126559,126559
1477957032,126569,126569
1477971431,126575,126575
1477985829,126587,126587
1478000229,126599,126599
1478014629,126606,126606
1478029030,126618,126618
1478043430,126625,126625
1478057830,126635,126635
1478072230,126651,126651
1478086632,126667,126667
1478101031,126686,126686
1478115429,126712,126712
1478129831,126733,126733
1478144232,126743,126743
1478158632,126755,126755
1478173031,126760,126760
1478187432,126774,126774
1478201832,126783,126783
1478216232,126795,126795
1478230631,126803,126803
1478245032,126811,126811
1478259431,126817,126817
1478273831,126823,126823
1478288229,126833,126833
1478302631,126838,126838
1478317331,126845,126845
1478332030,126849,126849
1478346432,126860,126860
1478360839,126870,126870
1478375231,126879,126879
1478389633,126888,126888
1478404032,126895,126895
1478418434,126910,126910
1478432829,126918,126918
1478447239,126919,126919
1478461632,126923,126923
1478476032,126929,126929
1478490436,126941,126941
1478504831,126944,126944
1478519229,126949,126949
1478533638,126954,126954
1478548029,126961,126961
1478562431,126966,126966
1478576839,126977,126977
1478591233,126983,126983
1478605631,126989,126989
1478620047,127008,127008
1478634431,127060,127060
1478648833,127091,127091
1478663244,127123,127123
1478677633,127153,127153
1478692338,127172,127172
1478706732,127190,127190
1478721132,127206,127206
1478735530,127228,127228
1478749931,127244,127244
1478764334,127255,127255
1478778731,127273,127273
1478793134,127292,127292
1478807533,127308,127308
1478821932,127324,127324
1478836333,127332,127332
1478850734,127342,127342
1478865133,127354,127354
1478879534,127370,127370
1478893934,127386,127386
1478908333,127402,127402
1478922730,127416,127416
1478937133,127426,127426
1478951533,127444,127444
1478966233,127455,127455
1478980634,127470,127470
1478995032,127483,127483
1479009429,127491,127491
1479023833,127500,127500
1479038230,127512,127512
1479052632,127526,127526
1479067030,127536,127536
1479081430,127554,127554
1479095833,127567,127567
1479110231,127586,127586
1479124630,127598,127598
1479139031,127611,127611
1479153432,127622,127622
1479167832,127636,127636
1479182230,127653,127653
1479196641,127662,127662
1479211042,127673,127673
1479225444,127683,127683
1479239833,127700,127700
1479254233,127712,127712
1479268629,127717,127717
1479283031,127730,127730
1479297433,127745,127745
1479311833,127765,127765
1479326233,127776,127776
1479340631,127788,127788
1479355035,127808,127808
1479369741,127818,127818
1479384430,127832,127832
1479398834,127847,127847
1479413533,127859,127859
1479427938,127870,127870
1479442334,127884,127884
1479456731,127900,127900
