DateTime,Entries,UniqueIPs
1464346841,1884,1884
1464364853,1885,1885
1464430547,1887,1887
1464432342,1888,1888
1464434138,1890,1890
1464597936,1892,1892
1464680735,1893,1893
1464772558,1896,1896
1464851758,1897,1897
1464855352,1899,1899
1464943536,1900,1900
1465029941,1901,1901
1465114548,1907,1907
1465191948,1908,1908
1465193750,1909,1909
1465200949,1910,1910
1465218954,1912,1912
1465224341,1914,1914
1465276562,1917,1917
1465285543,1918,1918
1465298140,1919,1919
1465369259,1921,1921
1465457442,1923,1923
1465459250,1924,1924
1465461045,1927,1927
1465480850,1928,1928
1465551047,1930,1930
1465554643,1931,1931
1465696841,1932,1932
1465725643,1933,1933
1465923679,1936,1936
1465972252,1937,1937
1465986641,1939,1939
1465995642,1940,1940
1466013650,1942,1942
1466067653,1944,1944
1466269243,1945,1945
1466328652,1946,1946
1466409650,1947,1947
1466427647,1948,1948
1466522137,1949,1949
1466579751,1952,1952
1466581563,1955,1955
1466606737,1956,1956
1466660750,1958,1958
1466662556,1959,1959
1466671543,1961,1961
1466840737,1962,1962
1466842545,1963,1963
1466844335,1964,1964
1466846148,1965,1965
1466873136,1966,1966
1466928943,1968,1968
1467013541,1970,1970
1467015350,1971,1971
1467022533,1972,1972
1467024335,1973,1973
1467058542,1974,1974
1467094555,1975,1975
1467096347,1976,1976
1467099942,1977,1977
1467103536,1979,1979
1467105342,1982,1982
1467378934,1985,1985
1467554443,1986,1986
1467615648,1989,1989
1467642636,1991,1991
1467644442,1992,1992
1467730843,1995,1995
1467739847,1996,1996
1467788449,1997,1997
1467795653,1998,1998
1467829845,1999,1999
1467889242,2000,2000
1467894644,2003,2003
1467965740,2004,2004
1468227646,2005,2005
1468236645,2006,2006
1468238439,2007,2007
1468305051,2008,2008
1468306851,2009,2009
1468341052,2010,2010
1468472445,2011,2011
1468479647,2012,2012
1468481438,2013,2013
1468499446,2014,2014
1468560646,2015,2015
1468580452,2018,2018
1468659659,2020,2020
1468771256,2021,2021
1468830660,2023,2023
1469087150,2025,2025
1469092558,2026,2026
1469094349,2027,2027
1469176261,2028,2028
1469431856,2029,2029
1469435454,2030,2030
1469440846,2031,2031
1469446253,2032,2032
1469545257,2033,2033
1469608263,2034,2034
1469689266,2035,2035
1469691066,2036,2036
1469781065,2037,2037
1469865660,2038,2038
1469867457,2039,2039
1469921457,2040,2040
1470040273,2041,2041
1470042062,2042,2042
1470126668,2043,2043
1470240065,2044,2044
1470385864,2045,2045
1470387660,2046,2046
1470405656,2049,2049
1470470460,2050,2050
1470596459,2051,2051
1470776465,2052,2052
1470817865,2053,2053
1470825062,2056,2056
1470841266,2057,2057
1470893469,2059,2059
1470913258,2060,2060
1470916869,2059,2059
1470945655,2060,2060
1470954653,2061,2061
1471010462,2062,2062
1471012261,2063,2063
1471087858,2064,2064
1471244463,2065,2065
1471246272,2066,2066
1471336262,2067,2067
1471413677,2069,2069
1471442459,2070,2070
1471498262,2071,2071
1471507254,2072,2072
1471510869,2074,2074
1471516259,2075,2075
1471561249,2077,2077
1471586465,2079,2079
1471588263,2080,2080
1471750249,2081,2081
1471876245,2082,2082
1471957251,2083,2083
1471968047,2084,2084
1471969849,2086,2086
1471975255,2087,2087
1472041851,2089,2089
1472126459,2090,2090
1472133646,2091,2091
1472137260,2092,2092
1472189453,2093,2093
1472257845,2094,2094
1472461263,2095,2095
1472463058,2521,2521
1472472054,2096,2096
1472482844,2099,2099
1472484652,2100,2100
1472544073,2101,2101
1472545854,2102,2102
1472547675,2103,2103
1472569250,2104,2104
1472576447,2105,2105
1472628663,2108,2108
1472630459,2109,2109
1472641246,2111,2111
1472644883,2112,2112
1472690742,2113,2113
1472715056,2114,2114
1472727675,2115,2115
1472772656,2116,2116
1472796065,2117,2117
1472806864,2118,2118
1472814063,2120,2120
1472839266,2122,2122
1472891472,2123,2123
1472897768,2124,2124
1472934653,2125,2125
1472945455,2126,2126
1472994055,2127,2127
1473015650,2128,2128
1473033656,2129,2129
1473091259,2130,2130
1473172273,2131,2131
1473233469,2132,2132
1473244267,2133,2133
1473456663,2134,2134
1473499865,2135,2135
1473784261,2136,2136
1473845462,2137,2137
1473863452,2138,2138
1473921061,2140,2140
1473924658,2141,2141
1473955260,2142,2142
1474002058,2143,2143
1474021863,2144,2144
1474027260,2145,2145
1474111864,2146,2146
1474113663,2147,2147
1474119046,2148,2148
1474162250,2149,2149
1474187461,2153,2153
1474198261,2154,2154
1474315257,2155,2155
1474367458,2156,2156
1474371066,2157,2157
1474376468,2158,2158
1474401662,2159,2159
1474453874,2160,2160
1474455666,2161,2161
1474464659,2162,2162
1474533068,2163,2163
1474536659,2164,2164
1474560062,2165,2165
1474623062,2166,2166
1474626672,2167,2167
1474766156,2168,2168
1474790462,2169,2169
1474792269,2170,2170
1474815659,2171,2171
1474970470,2174,2174
1475000162,2175,2175
1475049666,2176,2176
1475141459,2177,2177
1475152257,2178,2178
1475154069,2179,2179
1475215273,2180,2180
1475317860,2181,2181
1475407859,2182,2182
1475425859,2183,2183
1475429451,2184,2184
1475443852,2185,2185
1475560863,2187,2187
1475568066,2189,2189
1475595063,2191,2191
1475650867,2192,2192
1475733660,2193,2193
1475793057,2194,2194
1475816472,2195,2195
1475868660,2196,2196
1475974866,2197,2197
1476127856,2198,2198
1476140466,2199,2199
1476220561,2200,2200
1476297962,2201,2201
1476374468,2202,2202
1476439266,2204,2204
1476444656,2205,2205
1476450058,2206,2206
1476552660,2207,2207
1476705672,2208,2208
1476793865,2209,2209
1476869466,2211,2211
1476918068,2212,2212
1477022467,2213,2213
1477027868,2214,2214
1477312263,2216,2216
1477314065,2218,2218
1477315867,2219,2219
1477319462,2220,2220
1477341064,2221,2221
1477368069,2222,2222
1477373469,2223,2223
1477384267,2224,2224
1477387873,2226,2226
1477389668,2227,2227
1477391463,2228,2228
1477393268,2229,2229
1477431070,2230,2230
1477467066,2231,2231
1477481468,2234,2234
1477494064,2240,2240
1477524662,2241,2241
1477555269,2242,2242
1477558872,2243,2243
1477560670,2246,2246
1477564264,2248,2248
1477567868,2250,2250
1477591268,2253,2253
1477648865,2254,2254
1477661463,2255,2255
1477663266,2256,2256
1477728074,2257,2257
1477818068,2259,2259
1477828874,2260,2260
1477848660,2261,2261
1477855861,2262,2262
1477897266,2264,2264
1477909862,2267,2267
1477931460,2269,2269
1477990863,2271,2271
1478007067,2272,2272
1478017868,2273,2273
1478019667,2274,2274
1478068268,2276,2276
1478266263,2277,2277
1478269861,2278,2278
1478331061,2279,2279
1478716264,2280,2280
1478862075,2281,2281
1479114072,2282,2282
1479115870,2283,2283
1479117677,2284,2284
1479123068,2285,2285
1479207663,2286,2286
1479222065,2289,2289
1479249064,2290,2290
1479250876,2291,2291
1479258079,2292,2292
1479303068,2293,2293
1479313869,2294,2294
1479324667,2298,2298
1479335467,2299,2299
1479373269,2300,2300
1479389465,2301,2301
1479403861,2303,2303
