DateTime,AddedIPs,RemovedIPs
1438730834,22,0
1438948578,20,42
1438989509,17,18
1439075908,5,12
1439161756,0,10
1439165913,16,0
1439247255,0,16
1439251222,17,0
1439333653,0,22
1439337622,24,0
1439411799,0,25
1439424023,19,0
1439510424,20,0
1439592856,0,14
1439596818,18,0
1439680152,0,6
1439684298,13,0
1439769607,12,15
1439852057,0,14
1439856021,17,0
1439913623,0,64
1440419777,26,54
1440460807,0,24
1440506175,30,0
1440592570,24,0
1440680050,26,0
1440766445,28,27
1440852850,26,0
1440938729,20,0
1441023526,24,0
1441110016,20,23
1441196310,0,24
1441200428,23,0
1441282716,0,24
1441286835,25,0
1441370717,24,24
1441453524,0,23
1441457660,17,0
1441543518,12,21
1441624694,0,23
1441632450,19,0
1441714157,0,21
1441718355,20,0
1441804154,24,19
1441890014,23,21
1441968317,0,26
1441976418,22,0
1442060846,0,21
1442064981,18,0
1442147249,0,19
1442151827,18,0
1442233639,0,15
1442237792,17,0
1442320574,0,21
1442324711,23,0
1442407018,0,20
1442411121,25,0
1442493384,0,24
1442543234,23,0
1442580315,0,24
1442584452,25,0
1442667256,0,19
1442671214,21,0
1442753700,0,15
1442757633,17,0
1442839536,0,21
1442843648,24,0
1442925926,0,19
1442930056,22,0
1443012322,0,22
1443016466,18,0
1443098729,0,23
1443102862,26,0
1443185136,0,23
1443189284,21,0
1443274625,20,19
1443361000,19,21
1443447406,14,20
1443533249,23,20
1443620181,19,23
1443707154,15,18
1443793552,16,24
1443876325,0,20
1443880460,19,0
1443963267,0,17
1443967226,16,0
1444049666,0,23
1444053627,16,0
1444137538,23,17
1444222463,0,23
1444226435,18,0
1444309227,0,22
1444312963,28,0
1444395266,0,18
1444399246,24,0
1444481660,0,16
1444485618,21,0
1444568082,0,17
1444572018,17,0
1444655366,0,21
1444659506,18,0
1444741763,0,16
1444745902,27,0
1444828166,0,25
1444832300,18,0
1444914566,0,21
1444918703,19,0
1445001499,0,24
1445005637,21,0
1445087363,0,22
1445091211,18,0
1445173257,0,20
1445177388,16,0
1445261885,17,21
1445350694,22,18
1445434581,22,27
1445537616,19,22
1445607935,18,17
1445694344,14,20
1445779106,0,13
1445783237,15,0
1445862438,0,20
1445866582,19,0
1445952981,16,21
1446037325,0,18
1446041372,20,0
1446115540,0,19
1446127786,20,0
1446209138,0,18
1446213262,21,0
1446296440,0,17
1446300392,21,0
1446387502,15,17
1446472455,20,15
1446559768,27,18
1446644175,22,22
1446731659,27,22
1446818071,25,17
1447455247,26,198
1447533372,28,0
1447619794,19,0
1447706206,26,0
1447794034,21,0
1447879009,22,0
1447965413,24,0
1448051812,18,0
1448136561,20,22
1448222970,11,19
