DateTime,Entries,UniqueIPs
1472609343,593220,605184
1472627271,593264,605227
1472674316,593263,605226
1472713670,593325,605290
1472717280,593324,605289
1472800396,593353,605320
1472807621,593352,605319
1472810943,593351,605318
1472886699,593379,605346
1472940460,593378,605345
1472972973,593409,605377
1473059417,593432,605401
1473084565,593430,605399
1473145841,593465,605435
1473181787,593463,605433
1473196373,593462,605432
1473239553,593506,605480
1473322095,593535,605509
1473368874,593534,605508
1473404874,593566,605540
1473451953,593565,605539
1473502065,593596,605571
1473505670,593597,605572
1473592225,593617,605594
1473664072,593640,605617
1473729173,593742,605719
1473736319,593744,605721
1473739834,593746,605723
1473743386,593747,605724
1473747046,593749,605726
1473750496,593791,605769
1473757717,593792,605770
1473808123,593793,605771
1473815842,593794,605772
1473833540,593795,605773
1473837088,593814,605793
1473869856,593815,605794
1473876803,593817,605796
1473887567,593819,605798
1473898351,593823,605802
1473919931,593827,605806
1473930640,593856,605836
1473952416,593856,605836
1473995628,593858,605838
1474017208,593881,605863
1474042474,593882,605864
1474049580,593883,605865
1474056561,593884,605866
1474063714,593890,605872
1474067275,593895,605877
1474074688,593899,605881
1474081841,593904,605886
1474085432,593905,605887
1474089062,593906,605888
1474092480,593909,605891
1474096291,593943,605927
1474099879,593947,605931
1474103471,593954,605938
1474110666,593956,605940
1474117999,593966,605950
1474128654,593973,605957
1474132205,593976,605960
1474135675,593978,605962
1474139437,593980,605964
1474142872,593982,605966
1474146468,593985,605969
1474150252,593987,605971
1474157441,593996,605980
1474164741,594003,605987
1474168075,594004,605988
1474171679,594009,605993
1474175389,594012,605996
1474179053,594014,605998
1474182574,594045,606031
1474186092,594046,606032
1474189666,594047,606033
1474193263,594051,606037
1474196872,594053,606039
1474200477,594055,606041
1474204068,594057,606043
1474211547,594058,606044
1474214974,594059,606045
1474218581,594060,606046
1474225904,594061,606047
1474229369,594063,606049
1474233067,594064,606050
1474243890,594067,606053
1474247409,594070,606056
1474251091,594074,606060
1474254504,594078,606064
1474258075,594086,606072
1474265645,594088,606074
1474290919,594112,606097
1474333718,594113,606098
1474337564,594114,606099
1474348338,594115,606100
1474380947,594137,606121
1474384359,594138,606122
1474391509,594139,606123
1474423953,594147,606131
1474427505,594147,606133
1474442014,594173,606160
1474452940,594177,606164
1474456291,594178,606165
1474459933,594181,606168
1474492153,594180,606167
1474513979,594181,606168
1474517551,594182,606169
1474521222,594183,606170
1474528377,594207,606194
1474539235,594213,606200
1474549809,594216,606203
1474586144,594217,606204
1474596805,594218,606205
1474607632,594219,606206
1474614591,594253,606240
1474640155,594239,606226
1474643097,594240,606227
1474657900,594242,606229
1474665010,594244,606231
1474672124,594245,606232
1474675692,594247,606234
1474679290,594249,606236
1474682880,594251,606238
1474690371,594256,606243
1474693894,594258,606245
1474701077,594282,606270
1474736886,594284,606272
1474747847,594285,606273
1474751426,594286,606274
1474754881,594290,606278
1474758472,594293,606281
1474762094,594294,606282
1474765699,594295,606283
1474773070,594297,606285
1474787270,594327,606317
1474794652,594329,606319
1474805288,594330,606320
1474809073,594331,606321
1474812634,594333,606323
1474816298,594334,606324
1474827020,594335,606325
1474837845,594336,606326
1474841478,594339,606329
1474845067,594341,606331
1474848661,594343,606333
1474852071,594344,606334
1474855886,594345,606335
1474862882,594346,606336
1474870095,594347,606337
1474873704,594368,606358
1474906315,594370,606360
1474942162,594372,606362
1474960344,594403,606393
1474981821,594402,606392
1475003666,594404,606394
1475036607,594405,606395
1475047035,594431,606421
1475068826,594433,606424
1475111559,594432,606423
1475114948,594433,606424
1475132947,594463,606455
1475186961,594465,606457
1475201591,594466,606458
1475215956,594467,606459
1475219310,594493,606486
1475277012,594494,606487
1475287669,594495,606488
1475302080,594496,606489
1475309327,594524,606518
1475312880,594525,606519
1475320467,594528,606522
1475323844,594531,606525
1475330902,594532,606526
1475334690,594534,606528
1475341871,594536,606530
1475345296,594537,606531
1475356339,594538,606532
1475359699,594540,606534
1475366893,594543,606537
1475370659,594544,606538
1475381498,594545,606539
1475385050,594546,606540
1475388487,594547,606541
1475392257,594576,606572
1475395681,594577,606573
1475399379,594581,606577
1475403078,594583,606579
1475406659,594585,606581
1475410106,594586,606582
1475417300,594588,606584
1475424690,594593,606589
1475431927,594597,606593
1475435272,594601,606597
1475438872,594605,606601
1475450150,594613,606609
1475453455,594623,606619
1475468070,594639,606635
1475493024,594693,606690
1475514624,594694,606691
1475518368,594695,606692
1475532652,594696,606693
1475543614,594697,606694
1475550746,594698,606695
1475557976,594701,606698
1475565034,594740,606738
1475604912,594741,606739
1475637115,594743,606741
1475640694,594744,606742
1475644110,594745,606743
1475647917,594746,606744
1475651523,594779,606779
1475658883,594781,606781
1475702152,594782,606782
1475723670,594783,606783
1475737995,594813,606814
1475744982,594814,606815
1475748628,594815,606816
1475784877,594817,606818
1475791839,594818,606819
1475806882,594819,606820
1475813525,594820,606821
1475828020,594850,606851
1475838623,594851,606852
1475842319,594852,606853
1475845463,594855,606856
1475864828,594855,606856
1475870727,594856,606857
1475874675,594857,606858
1475885316,594858,606859
1475889443,594864,606865
1475896184,594865,606866
1475900394,594868,606869
1475903444,594869,606870
1475906977,594870,606871
1475910553,594907,606909
1475917869,594906,606908
1475932271,594908,606910
1475950143,594909,606911
1475953898,594912,606914
1475957465,594915,606917
1475961066,594922,606924
1475971904,594929,606931
1475975292,594936,606938
1475982772,594939,606941
1475986259,594942,606944
1475989732,594944,606946
1475997121,594985,606988
1476000652,594986,606989
1476011526,594990,606993
1476022320,595001,607004
1476029317,595002,607005
1476033058,595008,607011
1476036660,595010,607013
1476040210,595012,607015
1476043794,595016,607019
1476047440,595020,607023
1476058280,595023,607026
1476065291,595024,607027
1476068947,595025,607028
1476083516,595062,607066
1476097725,595063,607067
1476127023,595065,607069
1476130211,595066,607070
1476137510,595073,607077
1476144621,595079,607083
1476148303,595080,607084
1476151878,595081,607085
1476155350,595082,607086
1476166119,595084,607088
1476173781,595145,607169
1476180695,595146,607170
1476191316,595148,607172
1476205729,595149,607173
1476209440,595151,607175
1476216865,595152,607176
1476220252,595153,607177
1476227567,595154,607178
1476238551,595157,607181
1476249354,595158,607182
1476252674,595159,607183
1476256316,595187,607210
1476266957,595189,607212
1476274147,595190,607213
1476277814,595188,607210
1476281489,595190,607212
1476285036,595194,607216
1476288775,595196,607218
1476292386,595196,607218
1476295973,595196,607218
1476303221,595200,607222
1476313776,595208,607230
1476328323,595212,607234
1476335504,595215,607237
1476349946,595250,607273
1476353417,595253,607276
1476357135,595254,607277
1476385728,595256,607279
1476389375,595257,607280
1476403961,595266,607289
1476407493,595267,607290
1476410880,595269,607292
1476414494,595270,607293
1476418189,595271,607294
1476429067,595318,607341
1476458102,595320,607343
1476465117,595321,607344
1476483161,595326,607349
1476493783,595328,607351
1476504743,595331,607354
1476515426,595356,607380
1476526657,595357,607381
1476533512,595358,607382
1476537009,595359,607383
1476540699,595361,607385
1476544199,595362,607386
1476547835,595363,607387
1476555222,595368,607392
1476565958,595369,607393
1476573302,595374,607398
1476580087,595379,607403
1476583893,595380,607404
1476587401,595382,607406
1476591104,595383,607407
1476594600,595385,607409
1476598093,595387,607411
1476605347,595416,607442
1476608994,595419,607445
1476612488,595420,607446
1476616230,595422,607448
1476627036,595423,607449
1476641464,595424,607450
1476649009,595426,607452
1476662947,595430,607456
1476670385,595432,607458
1476677515,595433,607459
1476698987,595500,607526
1476713391,595502,607528
1476716918,595504,607530
1476720524,595509,607535
1476724102,595511,607537
1476731476,595512,607538
1476735013,595513,607539
1476738683,595514,607540
1476742299,595515,607541
1476745883,595516,607542
1476763754,595518,607544
1476767496,595519,607545
1476771089,595520,607546
1476774509,595550,607577
1476789110,595557,607584
1476800003,595559,607586
1476810586,595561,607588
1476818011,595563,607590
