DateTime,Entries,UniqueIPs
1452742325,11343,11343
1452828725,11431,11431
1452915126,11349,11349
1453001659,11283,11283
1453088016,11288,11288
1453174362,11163,11163
1453260728,11192,11192
1453347125,11174,11174
1453433528,11192,11192
1453519928,11145,11145
1453606326,11114,11114
1453692902,10984,10984
1453779181,10967,10967
1453865525,10936,10936
1453951924,10850,10850
1454038324,10691,10691
1454124726,10671,10671
1454211294,10646,10646
1454297609,10518,10518
1454383924,10377,10377
1454470325,10423,10423
1454556725,10450,10450
1454643127,10416,10416
1454729526,10413,10413
1454816233,10391,10391
1454902326,10359,10359
1454988931,10307,10307
1455161525,10381,10381
1455247927,10506,10506
1455334326,10618,10618
1455421296,10663,10663
1455507124,10639,10639
1455593524,10552,10552
1455679926,10467,10467
1455766327,10540,10540
1455852724,10537,10537
1455939146,10488,10488
1456025524,10287,10287
1456112140,10145,10145
1456198378,10080,10080
1456284727,10026,10026
1456371127,9835,9835
1456457526,9739,9739
1456543924,9599,9599
1456630326,9672,9672
1456716726,9630,9630
1456803130,9607,9607
1456889525,9676,9676
1456975924,10010,10010
1457062327,10127,10127
1457148725,10192,10192
1457235126,10253,10253
1457321525,10260,10260
1457407925,10254,10254
1457494328,10210,10210
1457580725,9997,9997
1457667124,9988,9988
1457753525,9931,9931
1457839931,9796,9796
1457926478,9881,9881
1458012786,9672,9672
1458099125,9614,9614
1458185528,9518,9518
1458271927,9352,9352
1458358327,9295,9295
1458444832,9312,9312
1458531201,9269,9269
1458617525,9089,9089
1458703927,8991,8991
1458790327,9014,9014
1458876729,9053,9053
1458963125,9028,9028
1459045925,8991,8991
1459132327,8903,8903
1459218725,8962,8962
1459305232,9124,9124
1459391593,9310,9310
1459477928,9333,9333
1459564327,9342,9342
1459650770,9377,9377
1459737185,9346,9346
1459823527,9180,9180
1459909929,9101,9101
1459996327,9004,9004
1460082725,9130,9130
1460176324,9146,9146
1460262875,9061,9061
1460349299,8971,8971
1460435572,8925,8925
1460521924,8953,8953
1460608325,8953,8953
1460694724,8826,8826
1460781124,8787,8787
1460867523,8952,8952
1460953977,8954,8954
1461040324,8940,8940
1461126789,8824,8824
1461213177,8823,8823
1461299531,8873,8873
1461385926,8877,8877
1461472405,8905,8905
1461731530,8840,8840
1461817942,8526,8526
1461904329,8477,8477
1461990725,8498,8498
1462077235,8518,8518
1462163685,8542,8542
1462249991,8556,8556
1462336395,8461,8461
1462422792,8561,8561
1462509189,8564,8564
1462595590,8478,8478
1462681994,8438,8438
1462768492,8364,8364
1462854888,8392,8392
1462941196,8382,8382
1463027581,8313,8313
1463113991,8269,8269
1463200399,8187,8187
1463286789,7993,7993
1463373191,7778,7778
1463459591,7820,7820
1463545989,7736,7736
1463632399,7693,7693
1463805318,7623,7623
1463891600,7539,7539
1463977999,7499,7499
1464064397,7498,7498
1464151007,7530,7530
1464237266,7525,7525
1464323685,7501,7501
1464410082,7476,7476
1464496465,7548,7548
1464583005,7521,7521
1464669454,7599,7599
1464755804,7675,7675
1464928576,7369,7369
1465015035,7329,7329
1465101504,7289,7289
1465187716,7237,7237
1465274130,7160,7160
1465360643,7119,7119
1465447046,7146,7146
1465533451,7189,7189
1465619875,7182,7182
1465706507,7188,7188
1465792767,7135,7135
1465878878,7096,7096
1465965297,7013,7013
1466051669,6980,6980
1466138092,6941,6941
1466224482,6918,6918
1466310872,6876,6876
1466397260,6812,6812
1466483655,6921,6921
1466570077,7287,7287
1466656481,7231,7231
1466742899,7300,7300
1466829282,7482,7482
1466915708,7440,7440
1467002095,7458,7458
1467088528,7328,7328
1467174886,7040,7040
1467261275,7070,7070
1467347682,7032,7032
1467434065,7201,7201
1467520503,7438,7438
1467606880,7328,7328
1467693300,7267,7267
1467779808,7187,7187
1467952465,7071,7071
1468038877,6879,6879
1468125317,6629,6629
1468211665,6618,6618
1468298080,6610,6610
1468384475,6521,6521
1468890729,6471,6471
1468977122,6478,6478
1469063552,6505,6505
1469149947,6372,6372
1469236333,6401,6401
1469322724,6409,6409
1469409129,6331,6331
1469495526,6276,6276
1469581944,6286,6286
1469668333,6198,6198
1469754753,6198,6198
1469841147,6167,6167
1469927568,6228,6228
1470013980,6137,6137
1470100346,6032,6032
1470186729,5985,5985
1470273139,5961,5961
1470359552,5978,5978
1470445934,6076,6076
1470532325,6158,6158
1470618739,6165,6165
1470705129,6209,6209
1470791552,6209,6209
1470877928,6341,6341
1470964357,6379,6379
1471050754,6420,6420
1471137148,6403,6403
1471223555,6400,6400
1471309961,6404,6404
1471396344,6363,6363
1471482777,6362,6362
1471569133,7445,7445
1471655604,7436,7436
1471741957,7703,7703
1471828326,7607,7607
1471914728,7509,7509
1472001173,7644,7644
1472087571,7662,7662
1472173971,6577,6577
1472260375,6644,6644
1472346777,6500,6500
1472433160,7780,7780
1472519529,7876,7876
1472605962,7809,7809
1472778724,7925,7925
1472865169,7973,7973
1472951564,7964,7964
1473037963,6944,6944
1473124374,6949,6949
1473210741,6910,6910
1473297162,6933,6933
1473383586,6894,6894
1473469967,6816,6816
1473556332,6809,6809
1473642786,6795,6795
1473729174,6749,6749
1473815542,6748,6748
1473901958,6769,6769
1473988367,6765,6765
1474074726,6768,6768
1474161151,6766,6766
1474247566,6565,6565
1474333962,6497,6497
1474420340,6439,6439
1474506768,6384,6384
1474593166,6433,6433
1474679542,6459,6459
1474765942,6435,6435
1474852377,6531,6531
1474938759,6549,6549
1475025132,6667,6667
1475111541,6640,6640
1475197975,6700,6700
1475284367,6804,6804
1475370755,6894,6894
1475457167,6870,6870
1475543566,6850,6850
1475629967,6745,6745
1475716365,6802,6802
1475802732,6819,6819
1475889159,6824,6824
1475975539,6892,6892
1476061971,6999,6999
1476148370,7081,7081
1476234774,7094,7094
1476321174,7071,7071
1476407598,7063,7063
1476493985,7076,7076
1476580376,7053,7053
1476666793,7098,7098
1476753178,11607,11607
1476839574,11705,11705
1476925930,11720,11720
1477012353,11758,11758
1477098773,11791,11791
1477185195,11833,11833
1477271562,16235,16235
1477357964,12643,12643
1477444395,12508,12508
1477530807,12456,12456
1477617167,12323,12323
1477703536,12293,12293
1477789924,12276,12276
1477876387,8760,8760
1477962779,8912,8912
1478049189,9074,9074
1478135567,9284,9284
1478222015,9456,9456
1478308369,9545,9545
1478394760,9598,9598
1478481160,9681,9681
1478567543,9581,9581
1478653952,9540,9540
1478740374,9369,9369
1478826767,9309,9309
1478913151,9340,9340
1478999711,9280,9280
1479086117,9226,9226
1479172436,9259,9259
1479258798,9256,9256
1479345218,9281,9281
1479431567,8631,8631
